Date	Day	Action	Actor	Target	Agent	Event	Country	Location	Issue	Linkdate	Time	Reds	Red missing	Red injured	Red deaths	Whites	White missing	White injured	White dead	Source	No event	Sources
21-Jun-19	Sat	march	Bolsheviks	Whites		follow Kolchak east	Russia	Ural mountains	civil war			8000	0	0	0	5000	0	0	0	Pearlstein		
22-Jun-19	Sun	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
22-Jun-19	Sun	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
22-Jun-19	Sun	march	Bolsheviks	Whites		follow Kolchak east	Russia	Ural mountains	civil war			8000	0	0	0	5000	0	0	0	Pearlstein		
23-Jun-19	Mon	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
23-Jun-19	Mon	battle	Whites	Bolsheviks		Denikin battles for Kharkov	Ukraine	Kharkov	civil war			5000	0	301	101	6000	0	8	3	Kenez 1977		
23-Jun-19	Mon	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
23-Jun-19	Mon	march	Bolsheviks	Whites		follow Kolchak east	Russia	Ural mountains	civil war			8000	0	0	0	5000	0	0	0	Pearlstein		
24-Jun-19	Tue	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
24-Jun-19	Tue	battle	Whites	Bolsheviks		Denikin takes Kharkov	Ukraine	Kharkov	civil war			5000	0	301	101	6000	0	8	3	Kenez 1977		
24-Jun-19	Tue	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
24-Jun-19	Tue	march	Bolsheviks	Whites		follow Kolchak east	Russia	Ural mountains	civil war			8000	0	0	0	5000	0	0	0	Pearlstein		
25-Jun-19	Wed	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
25-Jun-19	Wed	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
25-Jun-19	Wed	march	Bolsheviks	Whites		follow Kolchak east	Russia	Ural mountains	civil war			8000	0	0	0	5000	0	0	0	Pearlstein		
26-Jun-19	Thu	battle	Bolsheviks	Whites		attack Perm	Russia	Perm	civil war			8000	0	8	3	5000	0	31	8	Pearlstein		
26-Jun-19	Thu	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
26-Jun-19	Thu	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
27-Jun-19	Fri	battle	Bolsheviks	Whites		attack Perm	Russia	Perm	civil war			8000	0	8	3	5000	0	31	8	Pearlstein		
27-Jun-19	Fri	battle	Inguish & Chechens	Whites		all of Dagestan in rebellion	Chechnya	Dagestan	Chechen rising			5000	0	8	3	5000	0	31	8	Kenez 1977		
27-Jun-19	Fri	battle	Whites	Bolsheviks		Denikin drives Bolsheviks out of Crimea	Ukraine	Crimea	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
27-Jun-19	Fri	battle	Whites	Bolsheviks		Wrangel fights Bolsheviks	Russia	Tzaritzine	civil war			5000	0	101	31	5000	0	8	3	Loukomsky		
